place,year,perDiff,distance,discipline
3,1988,14.32,800,run
4,1988,13.02,800,run
5,1988,15.31,800,run
6,1988,15.15,800,run
7,1988,15.23,800,run
8,1988,14,800,run
1,1992,15.24,800,run
2,1992,14.93,800,run
3,1992,14.63,800,run
4,1992,15.26,800,run
5,1992,15.92,800,run
6,1992,15.74,800,run
7,1992,15.1,800,run
8,1992,14.58,800,run
1,1996,12.54,800,run
2,1996,12.98,800,run
3,1996,13.52,800,run
4,1996,13.38,800,run
5,1996,13.41,800,run
6,1996,13.11,800,run
7,1996,13.78,800,run
8,1996,13.68,800,run
1,2000,12.59,800,run
2,2000,12.32,800,run
3,2000,12.63,800,run
4,2000,12.35,800,run
5,2000,13.73,800,run
6,2000,14.76,800,run
7,2000,14.53,800,run
8,2000,14.72,800,run
1,2004,13.64,800,run
2,2004,14.62,800,run
3,2004,14.55,800,run
4,2004,15.05,800,run
5,2004,14.11,800,run
6,2004,14.9,800,run
7,2004,15.18,800,run
8,2004,15.51,800,run
1,2008,15.1,800,run
2,2008,14.69,800,run
3,2008,14.91,800,run
4,2008,14.94,800,run
5,2008,15.56,800,run
6,2008,15.48,800,run
7,2008,15.2,800,run
8,2008,14.58,800,run
1,2012,14.59,800,run
2,2012,13.95,800,run
3,2012,14.15,800,run
4,2012,14.09,800,run
5,2012,14,800,run
6,2012,15.44,800,run
7,2012,16.32,800,run
8,2012,13.23,800,run
1,2016,13.69,800,run
2,2016,13.91,800,run
3,2016,13.38,800,run
4,2016,12.83,800,run
5,2016,12.93,800,run
6,2016,13.26,800,run
7,2016,14.48,800,run
8,2016,11.39,800,run
1,1972,13.05,1500,run
2,1972,14.8,1500,run
3,1972,16.23,1500,run
4,1972,17.53,1500,run
5,1972,20.13,1500,run
6,1972,20.78,1500,run
7,1972,22,1500,run
8,1972,21.89,1500,run
1,1976,14.25,1500,run
2,1976,14.14,1500,run
3,1976,14.47,1500,run
4,1976,14.47,1500,run
5,1976,17.34,1500,run
6,1976,16.59,1500,run
7,1976,13.67,1500,run
8,1976,16.03,1500,run
1,1980,13.83,1500,run
2,1980,14.29,1500,run
3,1980,17.02,1500,run
4,1980,17.04,1500,run
5,1980,17.58,1500,run
6,1980,17.88,1500,run
7,1980,16.01,1500,run
8,1980,14.31,1500,run
1,1984,10.97,1500,run
2,1984,10.91,1500,run
3,1984,12.46,1500,run
4,1984,13.54,1500,run
5,1984,13.38,1500,run
6,1984,13.55,1500,run
7,1984,13.7,1500,run
8,1984,13.65,1500,run
1,1988,8.14,1500,run
2,1988,8.75,1500,run
3,1988,10.89,1500,run
4,1988,11.31,1500,run
5,1988,10.77,1500,run
6,1988,12.01,1500,run
7,1988,11.83,1500,run
8,1988,12.27,1500,run
1,1992,12.71,1500,run
2,1992,12.73,1500,run
3,1992,12.61,1500,run
4,1992,12.7,1500,run
5,1992,13.68,1500,run
6,1992,13.79,1500,run
7,1992,13.94,1500,run
8,1992,13.5,1500,run
1,1996,11.08,1500,run
2,1996,11.44,1500,run
3,1996,12.14,1500,run
4,1996,12.47,1500,run
5,1996,12.59,1500,run
6,1996,12.53,1500,run
7,1996,12.47,1500,run
8,1996,12.31,1500,run
1,2000,11.63,1500,run
2,2000,11.59,1500,run
3,2000,13.55,1500,run
4,2000,14.33,1500,run
5,2000,14.45,1500,run
6,2000,15.35,1500,run
7,2000,15.83,1500,run
8,2000,15.86,1500,run
1,2004,14.89,1500,run
2,2004,13.72,1500,run
3,2004,13.54,1500,run
4,2004,13.02,1500,run
5,2004,12.95,1500,run
6,2004,13.6,1500,run
7,2004,14.15,1500,run
8,2004,13.62,1500,run
1,2008,11.39,1500,run
2,2008,12.36,1500,run
3,2008,12.43,1500,run
4,2008,13.23,1500,run
5,2008,15.05,1500,run
6,2008,15.43,1500,run
7,2008,15.34,1500,run
8,2008,15.35,1500,run
1,2012,13.37,1500,run
2,2012,13.56,1500,run
3,2012,13.15,1500,run
4,2012,13.87,1500,run
5,2012,13.95,1500,run
6,2012,14.03,1500,run
7,2012,14.01,1500,run
8,2012,14.61,1500,run
1,2016,14.32,1500,run
2,2016,14.2,1500,run
3,2016,13.87,1500,run
4,2016,13.65,1500,run
5,2016,13.45,1500,run
6,2016,13.06,1500,run
7,2016,14.34,1500,run
8,2016,14.17,1500,run
1,1996,12.35,5000,run
2,1996,11.08,5000,run
3,1996,11.04,5000,run
4,1996,10.96,5000,run
5,1996,11.9,5000,run
6,1996,11.89,5000,run
7,1996,12.9,5000,run
8,1996,12.51,5000,run
1,2000,9.7,5000,run
2,2000,12.91,5000,run
3,2000,11.3,5000,run
4,2000,12.74,5000,run
5,2000,12.66,5000,run
6,2000,13.17,5000,run
7,2000,12.98,5000,run
8,2000,13.1,5000,run
1,2004,12.39,5000,run
2,2004,11.92,5000,run
3,2004,12.03,5000,run
4,2004,12.32,5000,run
5,2004,12.41,5000,run
6,2004,12.7,5000,run
7,2004,14.13,5000,run
8,2004,14.94,5000,run
1,2008,11.59,5000,run
2,2008,11.4,5000,run
3,2008,11.49,5000,run
4,2008,13.27,5000,run
5,2008,13.67,5000,run
6,2008,14.11,5000,run
7,2008,14.31,5000,run
8,2008,13.13,5000,run
1,2012,13.84,5000,run
2,2012,13.9,5000,run
3,2012,14.33,5000,run
4,2012,14.03,5000,run
5,2012,13.93,5000,run
6,2012,14.37,5000,run
7,2012,14.43,5000,run
8,2012,14.61,5000,run
1,2016,10.98,5000,run
2,2016,11.09,5000,run
3,2016,11.61,5000,run
4,2016,12,5000,run
5,2016,11.96,5000,run
6,2016,12.25,5000,run
7,2016,12.77,5000,run
8,2016,12.78,5000,run
1,1988,9.38,10000,run
2,1988,10.01,10000,run
3,1988,10.16,10000,run
4,1988,10.41,10000,run
5,1988,9.07,10000,run
6,1988,9.86,10000,run
7,1988,9.78,10000,run
8,1988,9.76,10000,run
1,1992,16.25,10000,run
2,1992,15.92,10000,run
3,1992,15.89,10000,run
4,1992,16.49,10000,run
5,1992,16.47,10000,run
6,1992,16.86,10000,run
7,1992,17.15,10000,run
8,1992,17.48,10000,run
1,1996,13.4,10000,run
2,1996,12.42,10000,run
3,1996,12.14,10000,run
4,1996,12.78,10000,run
5,1996,13.1,10000,run
6,1996,12.99,10000,run
7,1996,13.29,10000,run
8,1996,13.52,10000,run
1,2000,13.53,10000,run
2,2000,13.96,10000,run
3,2000,12.92,10000,run
4,2000,12.14,10000,run
5,2000,12.59,10000,run
6,2000,12.75,10000,run
7,2000,12.44,10000,run
8,2000,11.72,10000,run
1,2004,12.87,10000,run
2,2004,14.52,10000,run
3,2004,14.21,10000,run
4,2004,15,10000,run
5,2004,15.22,10000,run
6,2004,15.84,10000,run
7,2004,15.77,10000,run
8,2004,15.79,10000,run
1,2008,14.02,10000,run
2,2008,14.11,10000,run
3,2008,14.24,10000,run
4,2008,16.61,10000,run
5,2008,16.52,10000,run
6,2008,17.05,10000,run
7,2008,17.11,10000,run
8,2008,18.07,10000,run
1,2012,16.59,10000,run
2,2012,16.04,10000,run
3,2012,15.92,10000,run
4,2012,15.86,10000,run
5,2012,16.07,10000,run
6,2012,15.34,10000,run
7,2012,12.03,10000,run
8,2012,15.96,10000,run
1,2016,13.53,10000,run
2,2016,13.36,10000,run
3,2016,12.83,10000,run
4,2016,11.93,10000,run
5,2016,12.68,10000,run
6,2016,12.42,10000,run
7,2016,12.44,10000,run
8,2016,12.45,10000,run
1,2000,8.13,20000,walking
2,2000,8.12,20000,walking
3,2000,6.47,20000,walking
4,2000,4.2,20000,walking
5,2000,5.34,20000,walking
6,2000,6.11,20000,walking
7,2000,5.81,20000,walking
8,2000,5.6,20000,walking
1,2004,12,20000,walking
2,2004,14.26,20000,walking
3,2004,11.48,20000,walking
4,2004,12.92,20000,walking
5,2004,11.71,20000,walking
6,2004,11.76,20000,walking
7,2004,13.94,20000,walking
8,2004,14.86,20000,walking
1,2008,9.24,20000,walking
2,2008,9.34,20000,walking
3,2008,14.47,20000,walking
4,2008,13.21,20000,walking
5,2008,12.05,20000,walking
6,2008,12.62,20000,walking
7,2008,11.67,20000,walking
8,2008,14.79,20000,walking
1,2012,14.32,20000,walking
2,2012,8.53,20000,walking
3,2012,6.55,20000,walking
4,2012,5.13,20000,walking
5,2012,4.39,20000,walking
6,2012,5.72,20000,walking
7,2012,9.18,20000,walking
8,2012,9.84,20000,walking
1,2016,9.42,20000,walking
2,2016,7.7,20000,walking
3,2016,15.37,20000,walking
4,2016,14.55,20000,walking
5,2016,13.53,20000,walking
6,2016,14.26,20000,walking
7,2016,15.39,20000,walking
8,2016,15.67,20000,walking
1,1984,14.69,42200,run
2,1984,15.14,42200,run
3,1984,15.63,42200,run
4,1984,16.05,42200,run
5,1984,16.02,42200,run
6,1984,15.83,42200,run
7,1984,15.27,42200,run
8,1984,15.47,42200,run
1,1988,13.14,42200,run
2,1988,13.11,42200,run
3,1988,12.88,42200,run
4,1988,12.48,42200,run
5,1988,13.07,42200,run
6,1988,12.36,42200,run
7,1988,11.96,42200,run
8,1988,11.51,42200,run
1,1992,13.17,42200,run
2,1992,13.24,42200,run
3,1992,13.36,42200,run
4,1992,14.35,42200,run
5,1992,13.87,42200,run
6,1992,13.89,42200,run
7,1992,13.54,42200,run
8,1992,13.68,42200,run
1,1996,12.92,42200,run
2,1996,12.79,42200,run
3,1996,13.45,42200,run
4,1996,14.53,42200,run
5,1996,14.87,42200,run
6,1996,15.14,42200,run
7,1996,15.15,42200,run
8,1996,14.36,42200,run
1,2000,13.3,42200,run
2,2000,14.16,42200,run
3,2000,13.89,42200,run
4,2000,14.22,42200,run
5,2000,13.68,42200,run
6,2000,14.53,42200,run
7,2000,14.77,42200,run
8,2000,14.82,42200,run
1,2004,12.69,42200,run
2,2004,13.54,42200,run
3,2004,13.57,42200,run
4,2004,13.54,42200,run
5,2004,12.05,42200,run
6,2004,12.46,42200,run
7,2004,13.27,42200,run
8,2004,13.83,42200,run
1,2008,15.93,42200,run
2,2008,14.64,42200,run
3,2008,15.95,42200,run
4,2008,16.08,42200,run
5,2008,15.8,42200,run
6,2008,15.67,42200,run
7,2008,14.7,42200,run
8,2008,14.71,42200,run
1,2012,12.78,42200,run
2,2012,12.68,42200,run
3,2012,12.57,42200,run
4,2012,13.37,42200,run
5,2012,14.23,42200,run
6,2012,14.66,42200,run
7,2012,14.32,42200,run
8,2012,15.16,42200,run
1,2016,13.06,42200,run
2,2016,12.52,42200,run
